"age","avrageDailyTyping","createdAt","englishUse","gender","isTypist","keyboardLayout","keyboardProfile","matriculationNumber","nativeLanguage","participantId","touchTypingCourse","updatedAt","usedFingers","usedHand"
24,2,2022-02-09 09:54:32,"usually","m",TRUE,"qwerty","high","2k6c3UE1moGMXX5sANSS","german","2k6c3UE1moGMXX5sANSS",FALSE,2022-02-09 09:54:32,10,"both"
24,2,2022-02-09 10:01:51,"sometimes","m",FALSE,"qwertz","low","ZWH1by2chTTjxC5xBonl","german","ZWH1by2chTTjxC5xBonl",FALSE,2022-02-09 10:01:51,6,"both"
23,2,2022-02-09 10:18:46,"sometimes","m",FALSE,"qwertz","high","og7wp8U4vBYG9qzI5h8C","german","og7wp8U4vBYG9qzI5h8C",FALSE,2022-02-09 10:18:46,4,"both"
23,8,2022-02-09 10:28:22,"usually","m",TRUE,"qwertz","low","udhdb5vpndQsjGcygZec","german","udhdb5vpndQsjGcygZec",TRUE,2022-02-09 10:28:22,10,"both"
24,5,2022-02-09 10:40:21,"usually","m",FALSE,"qwertz","low","9deJ2qtKLvuqMc8ktWe9","german","9deJ2qtKLvuqMc8ktWe9",FALSE,2022-02-09 10:40:21,8,"both"
24,5,2022-02-09 10:55:54,"sometimes","m",FALSE,"qwertz","high","TDU9VfCeqMZpsWliRv2j","german","TDU9VfCeqMZpsWliRv2j",TRUE,2022-02-09 10:55:54,7,"both"
22,3,2022-02-09 11:07:53,"rarely","m",FALSE,"qwertz","low","bEm4bVotxdvnkHEYzzi5","italian","bEm4bVotxdvnkHEYzzi5",FALSE,2022-02-09 11:07:53,6,"both"
21,5,2022-02-09 11:25:04,"rarely","w",FALSE,"qwertz","low","aEiApHfpgZRT6wH5qBTu","german","aEiApHfpgZRT6wH5qBTu",FALSE,2022-02-09 11:25:04,7,"both"
27,3,2022-02-09 11:35:50,"always","w",TRUE,"qwertz","low","2BYHrlcS9UljeLxeZvh5","romanian, moldavian, moldovan","2BYHrlcS9UljeLxeZvh5",FALSE,2022-02-09 11:35:50,6,"both"
21,1,2022-02-09 11:45:51,"sometimes","m",FALSE,"qwertz","low","ojX5Z7on5WrrxvLJMqmq","german","ojX5Z7on5WrrxvLJMqmq",FALSE,2022-02-09 11:45:51,8,"both"
21,2,2022-02-09 11:55:01,"always","m",TRUE,"qwerty","high","42Qb5LyAPE3NXNdu3AAl","german","42Qb5LyAPE3NXNdu3AAl",TRUE,2022-02-09 11:55:01,10,"both"
21,1,2022-02-09 12:04:45,"sometimes","w",FALSE,"qwertz","low","hYt8RzR12FUutgCgq7Ou","german","hYt8RzR12FUutgCgq7Ou",FALSE,2022-02-09 12:04:45,4,"both"
23,4,2022-02-09 12:14:32,"sometimes","w",FALSE,"qwertz","low","Geh7YCJgogwkQEr2DV4k","vietnamese","Geh7YCJgogwkQEr2DV4k",FALSE,2022-02-09 12:14:32,4,"both"
28,2,2022-02-09 12:25:55,"usually","w",FALSE,"qwertz","low","CGXxAdVrqubyUvVvjLHP","kirghiz, kyrgyz","CGXxAdVrqubyUvVvjLHP",FALSE,2022-02-09 12:25:55,5,"right"
25,1,2022-02-09 12:44:10,"usually","m",FALSE,"qwertz","high","1N8UzywCgZLplZWpjmhN","german","1N8UzywCgZLplZWpjmhN",FALSE,2022-02-09 12:44:10,10,"both"
22,1,2022-02-09 12:58:40,"sometimes","m",TRUE,"qwertz","low","PGoFJfv5DkGCCwhe1tc9","german","PGoFJfv5DkGCCwhe1tc9",FALSE,2022-02-09 12:58:40,10,"both"
28,10,2022-02-09 13:09:07,"sometimes","m",FALSE,"qwertz","low","G5GbEAE7kabhS3jAzlXa","german","G5GbEAE7kabhS3jAzlXa",FALSE,2022-02-09 13:09:07,7,"both"
25,2,2022-02-09 13:18:56,"rarely","m",FALSE,"qwertz","low","lqKChKGGMFNaGvLCZhva","albanian","lqKChKGGMFNaGvLCZhva",FALSE,2022-02-09 13:18:56,8,"both"
25,1,2022-02-09 13:29:38,"sometimes","m",FALSE,"qwertz","low","jQ2fEW8ELtGUcBqGY7YI","german","jQ2fEW8ELtGUcBqGY7YI",FALSE,2022-02-09 13:29:38,4,"both"
21,6,2022-02-21 17:35:28,"usually","m",FALSE,"qwerty","low","EkyhvCQpfogVRdxisVhh","spanish; castilian","EkyhvCQpfogVRdxisVhh",FALSE,2022-02-21 17:35:28,4,"both"
